function,start_x,start_y,learning_rate,iterations,converged,final_x,final_y,final_f,runtime_seconds
quadratic,-2.0,2.0,0.001,2000,False,-1.9126803870734603,1.9126803870734603,7.316692526190964,0.011853499978315085
quadratic,-2.0,2.0,0.01,2000,False,-1.1966933056414664,1.1966933056414664,2.8641497355342,0.012672700046095997
quadratic,-2.0,2.0,0.1,1098,True,-7.910810694335786e-05,7.910810694335786e-05,1.2516185168323488e-08,0.007218300015665591
quadratic,0.5,-1.5,0.001,2000,False,0.41482051026357203,-1.41290932036289,2.168388803303654,0.012149000016506761
quadratic,0.5,-1.5,0.01,2000,False,0.0150327839789366,-0.7270510561385277,0.528829222826306,0.011763300048187375
quadratic,0.5,-1.5,0.1,635,True,9.626842605791192e-32,-6.453111723302478e-05,4.164265091342388e-09,0.0036485999589785933
quadratic,3.0,3.0,0.001,2000,False,2.9124536105464527,2.9124536105464527,16.964772067170138,0.01160700002219528
quadratic,3.0,3.0,0.01,2000,False,2.168791494790997,2.168791494790997,9.407313095755535,0.012509899970609695
quadratic,3.0,3.0,0.1,2000,False,0.0005471471758299973,0.0005471471758299973,5.987400640374839e-07,0.011935499962419271
rosenbrock,-2.0,2.0,0.001,2000,False,-1.9161214970956122,2.084508772905927,260.3647332658887,0.012549499981105328
rosenbrock,-2.0,2.0,0.01,2000,False,-1.5745305586840008,2.44501043493682,6.744734556421862,0.012383099994622171
rosenbrock,-2.0,2.0,0.1,2000,False,-1.4570572200458,2.128862300606156,6.040548406762566,0.012261500000022352
rosenbrock,0.5,-1.5,0.001,2000,False,0.4162696042446212,-1.41348566519481,252.12339047795135,0.012009199999738485
rosenbrock,0.5,-1.5,0.01,2000,False,0.044357377038339516,-0.7454480011139382,56.77625744827136,0.01189140003407374
rosenbrock,0.5,-1.5,0.1,2000,False,0.35525512311512153,0.12118674243086412,0.4182154542074004,0.01197279995540157
rosenbrock,3.0,3.0,0.001,2000,False,2.9140206167869196,3.086417564425255,2925.1725523688124,0.01216400001430884
rosenbrock,3.0,3.0,0.01,2000,False,2.334545656674082,3.700927430417383,307.7426774460075,0.011996099958196282
rosenbrock,3.0,3.0,0.1,2000,False,2.016533016686006,4.068311378169165,1.0337026464758508,0.01239660003921017
cosine_bumps,-2.0,2.0,0.001,2000,False,-2.086223638814174,2.086223638814174,-1.1534756696655073,0.012286600016523153
cosine_bumps,-2.0,2.0,0.01,2000,False,-2.561130556583011,2.561130556583011,-3.605406952211707,0.013285499997437
cosine_bumps,-2.0,2.0,0.1,117,True,-2.595732184647978,2.595732184647978,-3.6179666831415265,0.0007854000432416797
cosine_bumps,0.5,-1.5,0.001,2000,False,0.5901778087761419,-1.5876629187382654,11.008742867954554,0.012241700023878366
cosine_bumps,0.5,-1.5,0.01,2000,False,1.4674688146831825,-2.267397461037554,1.9098496786066104,0.012548999977298081
cosine_bumps,0.5,-1.5,0.1,568,True,2.5956864909223833,-2.5957390791562474,-3.617966669059017,0.0034863000037148595
cosine_bumps,3.0,3.0,0.001,2000,False,2.915695187845097,2.915695187845097,-2.4893128272940395,0.012473199982196093
cosine_bumps,3.0,3.0,0.01,2000,False,2.598875392692071,2.598875392692071,-3.6178628867149474,0.012629600008949637
cosine_bumps,3.0,3.0,0.1,74,True,2.595743156837432,2.595743156837432,-3.6179666834676087,0.00048049999168142676
