function,start_x,start_y,learning_rate,iterations,converged,final_x,final_y,final_f,runtime_seconds
quadratic,-2.0,2.0,0.001,2000,False,-0.4914573368246841,0.4914573368246841,0.48306062783762205,0.01757179998094216
quadratic,-2.0,2.0,0.01,796,True,-2.7795796731913517e-05,2.7795796731913517e-05,1.5452126319237084e-09,0.008405900036450475
quadratic,-2.0,2.0,0.1,181,True,0.0001600392287872143,-0.0001600392287872143,5.122510950161265e-08,0.0015828999457880855
quadratic,0.5,-1.5,0.001,2000,False,3.263543732610043e-06,-0.18345137364918063,0.033654406504422,0.017489699996076524
quadratic,0.5,-1.5,0.01,569,True,-1.3029385266820505e-13,-2.8173432640900166e-05,7.937423067713389e-10,0.00520790001610294
quadratic,0.5,-1.5,0.1,230,True,-1.8436527229435073e-06,-8.731384638842864e-06,7.963613307423813e-11,0.002128699969034642
quadratic,3.0,3.0,0.001,2000,False,1.3059283017346621,1.3059283017346621,3.4108974585431575,0.017727800004649907
quadratic,3.0,3.0,0.01,1202,True,4.2557546803771166e-05,4.2557546803771166e-05,3.622289579910347e-09,0.010421000013593584
quadratic,3.0,3.0,0.1,215,True,4.651871565514902e-05,4.651871565514902e-05,4.327981812409212e-09,0.001951600017491728
rosenbrock,-2.0,2.0,0.001,2000,False,-1.56270557570253,2.447961899724256,6.570956441520147,0.019453999993856996
rosenbrock,-2.0,2.0,0.01,2000,False,-1.3544564533179937,1.8402803062650388,5.546746214552365,0.018933799990918487
rosenbrock,-2.0,2.0,0.1,2000,False,0.9560505405008427,0.9139140965368722,0.0019329601505091655,0.018361099995672703
rosenbrock,0.5,-1.5,0.001,2000,False,0.019084603078207803,-0.20566085370124257,5.206828200764577,0.018368599994573742
rosenbrock,0.5,-1.5,0.01,2000,False,0.5056957179119969,0.2524921322068765,0.24538391030524187,0.018937000015284866
rosenbrock,0.5,-1.5,0.1,2000,False,0.9973800618708571,0.9947556522909177,6.8769252168600274e-06,0.01872320001712069
rosenbrock,3.0,3.0,0.001,2000,False,2.0669624057228355,4.03449084744904,6.795325635311683,0.018363300012424588
rosenbrock,3.0,3.0,0.01,2000,False,2.0107011344799295,4.04479891061626,1.0218701700059574,0.01796770002692938
rosenbrock,3.0,3.0,0.1,2000,False,1.6552991290201688,2.7413482933574,0.4295946605422163,0.01848000002792105
cosine_bumps,-2.0,2.0,0.001,1860,True,-2.595661891812751,2.595661891812751,-3.6179666208060297,0.01738370000384748
cosine_bumps,-2.0,2.0,0.01,180,True,-2.5956050391805237,2.5956050391805237,-3.617966494153549,0.0016539999633096159
cosine_bumps,-2.0,2.0,0.1,193,True,-2.5957597947838016,2.5957597947838016,-3.617966679117089,0.001844200014602393
cosine_bumps,0.5,-1.5,0.001,2000,False,2.3827822348476007,-2.5816883447068264,-3.386843738727336,0.019521299982443452
cosine_bumps,0.5,-1.5,0.01,436,True,2.5957271373006403,-2.5957390846437582,-3.61796668289084,0.0041306999628432095
cosine_bumps,0.5,-1.5,0.1,242,True,2.5957451013284287,-2.5957398539251404,-3.6179666834485538,0.002267399977426976
cosine_bumps,3.0,3.0,0.001,1434,True,2.595804720067466,2.595804720067466,-3.6179666381996274,0.014105800015386194
cosine_bumps,3.0,3.0,0.01,172,True,2.5956700160403403,2.5956700160403403,-3.6179666333373515,0.0016534000169485807
cosine_bumps,3.0,3.0,0.1,193,True,2.5957540700405235,2.5957540700405235,-3.617966681272925,0.0017936999793164432
